Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,2781,96,,2685,28.0,96.05534114,21413.0,548.0,3.451995685,84000028,USA,739.6019489,19.70514204
04-13,2942,98,,2844.0,28.0,101.61625804865007,30984.0,549.0,3.3310673011556764,84000028,USA,1070.1829161724588,18.66077498300476
04-14,3087,111,,2976.0,28.0,106.62453729999999,37878.0,596.0,3.5957240039999996,84000028,USA,1308.300687,19.30677033
04-15,3360,122,,3238.0,28.0,116.0539180977105,38151.0,645.0,3.6309523809523814,84000028,USA,1317.7300682576645,19.196428571428573
04-16,3624,129,,3495.0,28.0,125.17244023395918,38415.0,682.0,3.5596026490066226,84000028,USA,1326.8485903939136,18.818984547461373
04-17,3793,140,,3653.0,28.0,131.00967599542142,38584.0,736.0,3.691009754811495,84000028,USA,1332.6858261553755,19.404165568151857
04-18,3974,152,,3822.0,28.0,137.26139003580406,38765.0,782.0,3.824861600402617,84000028,USA,1338.9375401957582,19.677906391545047
04-19,4274,159,,4115.0,28.0,147.62334700881388,39065.0,808.0,3.720168460458587,84000028,USA,1349.299497168768,18.905007019185774
04-20,4512,169,,4343.0,28.0,155.84383287406837,51434.0,819.0,3.745567375886525,84000028,USA,1776.5229831659647,18.15159574468085
04-21,4716,183,,4533.0,28.0,162.8899636157151,52364.0,858.0,3.8804071246819336,84000028,USA,1808.6450497822952,18.193384223918574
04-22,4894,193,,4701.0,28.0,169.03805808636758,53835.0,910.0,3.9436044135676336,84000028,USA,1859.4531788066204,18.59419697588884
04-23,5153,201,,4952.0,28.0,177.9838809397328,55389.0,946.0,3.9006404036483597,84000028,USA,1913.1281159268115,18.35823791965845
04-24,5434,209,,5225.0,28.0,187.6895806377853,55670.0,970.0,3.8461538461538463,84000028,USA,1922.833815624864,17.85057048214943
04-25,5718,221,,5497.0,28.0,197.49889990556804,58957.0,996.0,3.864987757957328,84000028,USA,2036.3663241924755,17.418677859391394
04-26,5911,227,,5684.0,28.0,204.16509222487102,60788.0,1001.0,3.8402977499577062,84000028,USA,2099.6088015844125,16.934528844527154
04-27,6094,229,,5865.0,28.0,210.48588597840703,63462.0,1060.0,3.757794552018378,84000028,USA,2191.968378070507,17.394158188382015
04-28,6342,239,,6103.0,28.0,219.0517704094285,64412.0,1088.0,3.7685272784610535,84000028,USA,2224.781241818372,17.155471460107222
04-29,6569,250,3413.0,6319.0,28.0,226.89231785233932,66094.0,1126.0,3.80575430050236,84000028,USA,2282.87728058038,17.141117369462627
04-30,6815,261,3413,3141.0,28,235.38912257020743,66340.0,1175.0,3.8297872340425534,84000028,USA,2291.374085298248,17.24137931034483
05-01,7212,281,3413,3518.0,28,249.1014456311572,71548.0,1226.0,3.8962839711591792,84000028,USA,2471.2576583496993,16.99944536882973
05-02,7441,291,3413,3737.0,28,257.0110727872213,74475.0,1265.0,3.9107646821663753,84000028,USA,2572.355818549699,17.000403171616718
05-03,7550,303,3413,3834.0,28,260.77591715408164,77593.0,1298.0,4.013245033112582,84000028,USA,2680.0510913558483,17.192052980132452
05-04,7877,310,4421,3146.0,28,272.0704502546624,79677.0,1316.0,3.935508442300368,84000028,USA,2752.03215246169,16.70686809699124
05-05,8207,342,4421.0,3444.0,28,283.4686029249732,80308.0,1352.0,4.167174363348361,84000028,USA,2773.8268019615875,16.473741927622758
05-06,8424,374,4421.0,3629.0,28,290.9637518021171,80525.0,1392.0,4.439696106362773,84000028,USA,2781.3219508387315,16.524216524216527
05-07,8686,396,4421.0,3869.0,28,300.0131942252123,80787.0,1442.0,4.559060557218513,84000028,USA,2790.3713932618266,16.601427584618932
05-08,9090,409,4421.0,4260.0,28,313.96729628219884,81191.0,1478.0,4.499449944994501,84000028,USA,2804.325495318813,16.25962596259626
05-09,9378,421,4421.0,4536.0,28,323.91477497628836,81479.0,1512.0,4.489230113030497,84000028,USA,2814.272974012902,16.122840690978887
05-10,9501,430,4421.0,4650.0,28,328.16317733522243,81602.0,1531.0,4.52583938532786,84000028,USA,2818.521376371837,16.11409325334175
05-11,9674,435,6268.0,2971.0,28,334.13857252299147,95885.0,1546.0,4.4965887947074625,84000028,USA,3311.8541478568363,15.980979946247675
05-12,9908,457,6268.0,3183.0,28,342.2208989619392,97692.0,1582.0,4.612434396447315,84000028,USA,3374.267668690933,15.966895438029876
05-13,10090,465,6268.0,3357.0,28,348.50715285889845,100048.0,1616.0,4.608523290386521,84000028,USA,3455.643570785637,16.015857284440038
05-14,10483,480,6268.0,3735.0,28,352.23370872896487,105326.0,1667.0,4.5788419345607165,84000028,USA,3539.002919544687,15.901936468568158
05-15,10801,493,6268.0,4040.0,28,362.91865763441285,106823.0,1712.0,4.564392185908712,84000028,USA,3589.302820524107,15.850384223682992
05-16,11123,510,6268.0,4345.0,28,373.7380084128852,108476.0,1748.0,4.5850939494740635,84000028,USA,3644.8443945514814,15.715184752315025
05-17,11296,521,6268.0,4507.0,28,379.550889421195,113126.0,1773.0,4.6122521246458925,84000028,USA,3801.086571942465,15.695821529745045
05-18,11432,527,7681.0,3224.0,28,384.12055310402803,115767.0,1805.0,4.609867039888035,84000028,USA,3889.825408606894,15.789013296011195
05-19,11704,554,7681.0,3469.0,28,393.2598804696942,117760.0,1840.0,4.733424470266575,84000028,USA,3956.7911418413532,15.721120984278881
05-20,11967,570,7681.0,3716.0,28,402.09680362105524,120680.0,1901.0,4.763098520932565,84000028,USA,4054.9045091492403,15.885351382969835
05-21,12222,580,7681.0,3961.0,28,410.6649230263673,125970.0,1932.0,4.745540828015055,84000028,USA,4232.650986224145,15.807560137457044
05-22,12625,595,7681.0,4349.0,28,424.205911733586,137973.0,1966.0,4.7128712871287135,84000028,USA,4635.9574067024205,15.572277227722774
05-23,13005,616,7681.0,4708.0,28,436.9740896709137,134220.0,1996.0,4.736639753940792,84000028,USA,4509.85484933718,15.34794309880815
05-24,13260,625,7681.0,4954.0,28,445.5422090762257,137902.0,2023.0,4.71342383107089,84000028,USA,4633.571773456235,15.256410256410255
05-25,13458,635,9401.0,3422.0,28,452.19510179093857,143917.0,2046.0,4.71838311784812,84000028,USA,4835.678590016831,15.202853321444492
05-26,13731,652,9401.0,3678.0,28,461.36802962486087,147819.0,2070.0,4.748379579054694,84000028,USA,4966.787617152233,15.075376884422115
05-27,14044,670,9401.0,3973.0,28,471.8849761890282,148132.0,2106.0,4.770720592423811,84000028,USA,4977.3045637164005,14.995727712902308
05-28,14372,693,9401.0,4278.0,28,482.90592977703733,156497.0,2147.0,4.82187586974673,84000028,USA,5258.37248067889,14.938769830225437
05-29,14793,710,9401.0,4682.0,28,497.0517269128663,166308.0,2208.0,4.799567362941931,84000028,USA,5588.026674739739,14.925978503346178
05-30,15229,723,9401.0,5105.0,28,511.701531072537,165932.0,2240.0,4.747521176702344,84000028,USA,5575.392898675435,14.708779302646267
05-31,15523,734,9401.0,5388.0,28,521.580068739838,171837.0,2272.0,4.728467435418412,84000028,USA,5773.8036637278565,14.6363460671262
06-01,15752,739,11203.0,3810.0,28,529.2745759704907,176254.0,2296.0,4.691467750126968,84000028,USA,5922.216932015163,14.57592686642966
06-02,16041,767,11203.0,4071.0,28,538.985111296511,179498.0,2296.0,4.781497412879497,84000028,USA,6031.216851038036,14.313322112087775
06-03,16322,782,11203.0,4337.0,28,548.4268428764823,184747.0,2340.0,4.791079524568068,84000028,USA,6207.585708914438,14.336478372748436
06-04,16560,794,11203.0,4563.0,28,556.4237543214402,184985.0,2340.0,4.794685990338166,84000028,USA,6215.582620359397,14.130434782608695
06-05,16769,803,11203.0,4763.0,28,563.4462521869705,193113.0,2475.0,4.788598008229472,84000028,USA,6488.687226345186,14.759377422625082
06-06,17039,811,11203.0,5025.0,28,572.5183786161243,193123.0,2475.0,4.759668994659312,84000028,USA,6489.023231027748,14.525500322788893
06-07,17270,817,11203.0,5250.0,28,580.2800867832893,203249.0,2522.0,4.730746960046323,84000028,USA,6829.2615725892765,14.603358425014475
06-08,17768,837,13356.0,3575.0,28,597.0131199748398,208212.0,2535.0,4.7107158937415585,84000028,USA,6996.020696544428,14.267221972084648
06-09,18123,847,13356.0,3920.0,28,608.9412862057644,208212.0,2535.0,4.673619157976051,84000028,USA,6996.020696544428,13.987750372454894
06-10,18483,868,13356.0,4259.0,28,621.0374547779697,213885.0,2614.0,4.696207325650597,84000028,USA,7186.636152961428,14.142725747984636
06-11,18483,868,13356.0,4259,28,621.0374547779697,213885.0,2614.0,4.6962073256505965,84000028,USA,7186.636152961428,14.142725747984636
06-12,19091,881,13356.0,4854.0,28,641.4665394776941,214493.0,2643.0,4.614739929809859,84000028,USA,7207.065237661152,13.844219789429575
06-13,19348,889,13356.0,5103.0,28,650.1018598195185,213885.0,2644.0,4.59479015918958,84000028,USA,7186.636152961428,13.665495141616704
06-14,19516,891,13356.0,5269.0,28,655.7467384865474,214053.0,2665.0,4.565484730477556,84000028,USA,7192.281031628457,13.655462184873947
06-15,19799,895,15323.0,3581.0,28,665.2556710030311,230503.0,2680.0,4.520430324763876,84000028,USA,7745.0087344417225,13.536037173594625
06-16,20152,915,15323.0,3914.0,28,677.1166362974434,240803.0,2728.0,4.54049225883287,84000028,USA,8091.093557479817,13.537117903930133
06-17,20641,938,15323.0,4380.0,28,693.5472652746887,244389.0,2767.0,4.5443534712465485,84000028,USA,8211.584836646283,13.405358267525802
06-18,20641,938,15323.0,4380.0,28,693.5472652746887,238715.0,2767.0,4.5443534712465485,84000028,USA,8020.9357797610255,13.405358267525802
06-19,20641,938,15323.0,4380.0,28,693.5472652746887,238715.0,2767.0,4.5443534712465485,84000028,USA,8020.9357797610255,13.405358267525802
06-20,20641,938,15323.0,4380.0,28,693.5472652746887,238715.0,2767.0,4.5443534712465485,84000028,USA,8020.9357797610255,13.405358267525802
06-21,20641,938,15323.0,4380.0,28,693.5472652746887,238715.0,2767.0,4.5443534712465485,84000028,USA,8020.9357797610255,13.405358267525802
06-22,22329,978,17242.0,4109.0,28,750.2648556910289,253249.0,2881.0,4.379954319494828,84000028,USA,8509.284985395556,12.902503470822698
