Date,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
04-12,1970,96,865.0,1874,40.0,53.85995428,22760.0,446.0,4.873096447,84000040,USA,622.2601824,22.63959391
04-13,2069,99,865.0,1970.0,40.0,56.566622029432146,22859.0,457.0,4.784920251329145,84000040,USA,624.9668501550457,22.087965200579987
04-14,2184,108,1060.0,2076.0,40.0,59.71073104,28269.0,488.0,4.945054945,84000040,USA,772.8766737999999,22.34432234
04-15,2263,123,1115.0,2140.0,40.0,61.87059722213869,29219.0,510.0,5.435262925320371,84000040,USA,798.8497482252188,22.536456031816172
04-16,2357,131,1240.0,2226.0,40.0,64.4405645835532,30899.0,528.0,5.557912600763682,84000040,USA,844.781079790925,22.40135765803988
04-17,2465,136,1331.0,2329.0,40.0,67.39329304134858,33620.0,528.0,5.517241379310344,84000040,USA,919.1734328803814,21.41987829614605
04-18,2465,136,1515.0,2329.0,40.0,67.39329304134858,35536.0,541.0,5.517241379310344,84000040,USA,971.5570229279364,21.947261663286003
04-19,2567,140,1575.0,2427.0,40.0,70.18198102926647,35565.0,541.0,5.453837164004675,84000040,USA,972.3498851990113,21.07518504090378
04-20,2680,143,1614.0,2537.0,40.0,73.27140987862646,35646.0,541.0,5.335820895522388,84000040,USA,974.5644315423576,20.186567164179106
04-21,2807,164,1702.0,2643.0,40.0,76.74359982436734,44344.0,561.0,5.842536515853224,84000040,USA,1212.3684327081387,19.985749910936946
04-22,2894,170,1772.0,2724.0,40.0,79.12218663759141,45913.0,588.0,5.874222529371113,84000040,USA,1255.2650155811107,20.317899101589497
04-23,3017,179,1884.0,2838.0,40.0,82.48501627008059,46036.0,622.0,5.933046072257209,84000040,USA,1258.6278452135998,20.61650646337421
04-24,3121,188,1961.0,2933.0,40.0,85.32838441462431,53012.0,637.0,6.023710349247036,84000040,USA,1449.3522315245318,20.410124959948735
04-25,3194,194,2080.0,3000.0,40.0,87.3242101314675,53084.0,637.0,6.073888541014402,84000040,USA,1451.3207171630622,19.94364433312461
04-26,3254,195,2139.0,3059.0,40.0,88.96461483024271,53144.0,653.0,5.992624462200369,84000040,USA,1452.9611218618375,20.067609096496614
04-27,3281,197,2167.0,3084.0,40.0,89.70279694469156,53171.0,656.0,6.004266991770803,84000040,USA,1453.6993039762867,19.993904297470287
04-28,3410,207,2260.0,3203.0,40.0,93.22966704705827,59699.0,656.0,6.070381231671554,84000040,USA,1632.17533520303,19.237536656891496
04-29,3473,214,2319.0,3259.0,40.0,94.95209198077228,61267.0,693.0,6.161819752375468,84000040,USA,1675.0445779976892,19.953930319608407
04-30,3618,222,2401,995.0,40,98.91640333614572,63422.0,703.0,6.1359867330016575,84000040,USA,1733.9624467620324,19.43062465450525
05-01,3748,230,2467,1051.0,40,102.47061351682535,63552.0,715.0,6.136606189967983,84000040,USA,1737.5166569427124,19.076840981856986
05-02,3851,238,2554,1059.0,40,105.28664158305617,63655.0,743.0,6.180212931706049,84000040,USA,1740.332685008943,19.293689950662166
05-03,3972,238,2635,1099.0,40,108.59479105891953,63776.0,743.0,5.991943605236656,84000040,USA,1743.6408344848062,18.705941591137965
05-04,4044,238,2682,1124.0,40,110.56327669744977,63848.0,753.0,5.885262116716123,84000040,USA,1745.6093201233364,18.620178041543028
05-05,4127,247,2830.0,1050.0,40,112.83250319742216,79417.0,773.0,5.984976980857767,84000040,USA,2171.266999377193,18.730312575720863
